ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28335671 753929.304 3753117.707 297.521 0.765 0.08869 12.205 62638.69854 -84.254298460 33.887873303
28335672 753929.312 3753117.696 297.396 0.792 0.07841 12.209 62638.69857 -84.254298378 33.887873206
28335673 753929.32 3753117.685 297.271 0.796 0.06813 12.215 62638.69860 -84.254298292 33.887873104
28335674 753929.333 3753117.665 297.147 0.808 0.05785 12.232 62638.69863 -84.254298162 33.887872922
28335675 753929.338 3753117.662 297.021 0.820 0.04757 12.232 62638.69867 -84.254298113 33.887872888
28335676 753929.344 3753117.654 296.895 0.824 0.03729 12.238 62638.69870 -84.254298045 33.887872817
28335677 753929.348 3753117.652 296.77 0.827 0.02701 12.239 62638.69873 -84.254298005 33.887872797
28335678 753929.355 3753117.643 296.644 0.827 0.01673 12.249 62638.69877 -84.254297929 33.887872713
28335679 753929.364 3753117.632 296.518 0.824 0.00645 12.263 62638.69880 -84.254297841 33.887872609
28335680 753929.371 3753117.623 296.391 0.820 -0.00383 12.275 62638.69883 -84.254297769 33.887872531
