ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28335049 753928.746 3753117.169 297.083 0.863 0.04758 14.306 62638.61880 -84.254304649 33.887868591
28335050 753928.774 3753117.118 296.937 0.263 0.03730 14.360 62638.61884 -84.254304355 33.887868123
28335051 753928.777 3753117.118 296.789 0.239 0.02702 14.358 62638.61887 -84.254304324 33.887868126
28335052 753928.785 3753117.108 296.641 0.220 0.01673 14.369 62638.61890 -84.254304241 33.887868036
28335053 753928.799 3753117.087 296.493 0.329 0.00645 14.394 62638.61894 -84.254304099 33.887867843
28335054 753928.784 3753117.124 296.346 0.824 -0.00383 14.356 62638.61897 -84.254304254 33.887868178
28335149 753928.817 3753117.277 297.791 0.835 0.09909 13.968 62638.63195 -84.254303851 33.887869543
28335150 753928.819 3753117.278 297.647 0.824 0.08881 13.957 62638.63198 -84.254303827 33.887869555
28335151 753928.824 3753117.274 297.504 0.827 0.07853 13.953 62638.63202 -84.254303771 33.887869514
28335152 753928.835 3753117.258 297.361 0.827 0.06825 13.963 62638.63205 -84.254303659 33.887869371
28335153 753928.84 3753117.255 297.217 0.843 0.05796 13.961 62638.63208 -84.254303609 33.887869339
28335154 753928.838 3753117.265 297.073 0.859 0.04768 13.945 62638.63211 -84.254303630 33.887869433
28335155 753928.858 3753117.231 296.931 0.267 0.03740 13.980 62638.63215 -84.254303423 33.887869121
28335156 753928.865 3753117.222 296.787 0.235 0.02712 13.988 62638.63218 -84.254303348 33.887869043
28335157 753928.88 3753117.198 296.643 0.216 0.01683 14.015 62638.63221 -84.254303192 33.887868821
28335158 753928.887 3753117.19 296.499 0.294 0.00655 14.025 62638.63225 -84.254303119 33.887868750
28335159 753928.887 3753117.196 296.355 0.835 -0.00373 14.022 62638.63228 -84.254303114 33.887868798
28335255 753928.934 3753117.316 297.906 0.333 0.10927 13.681 62638.64523 -84.254302573 33.887869868
28335256 753928.908 3753117.374 297.76 0.843 0.09899 13.604 62638.64526 -84.254302838 33.887870400
28335257 753928.92 3753117.355 297.621 0.812 0.08871 13.616 62638.64529 -84.254302711 33.887870228
28335258 753928.921 3753117.359 297.481 0.820 0.07843 13.603 62638.64533 -84.254302697 33.887870261
28335259 753928.933 3753117.341 297.342 0.769 0.06814 13.616 62638.64536 -84.254302574 33.887870096
28335260 753928.934 3753117.346 297.202 0.761 0.05786 13.605 62638.64539 -84.254302566 33.887870138
28335261 753928.939 3753117.341 297.062 0.847 0.04758 13.606 62638.64542 -84.254302510 33.887870094
28335262 753928.953 3753117.319 296.922 0.263 0.03730 13.628 62638.64546 -84.254302363 33.887869889
28335263 753928.972 3753117.287 296.783 0.247 0.02701 13.662 62638.64549 -84.254302170 33.887869599
28335264 753928.985 3753117.267 296.642 0.231 0.01673 13.684 62638.64552 -84.254302039 33.887869419
