Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
51,742941.9096599999,3755420.67819,301.63836999999995,0.7966200000000001,-84.37235486597001,33.91121177554,100
52,742942.1310000002,3755421.966173077,301.78825,0.7700192307692308,-84.37235211819232,33.91122332813461,52
53,743098.1788030303,3755381.783886364,298.96502272727275,0.7661590909090908,-84.37067699524242,33.91082529596213,132
54,743098.3890222223,3755383.3106000004,298.8842666666667,0.7699666666666668,-84.3706743015,33.910839002766664,90
55,743088.2161562501,3755393.95728125,296.54325,0.7616875000000001,-84.3707812804375,33.910937272249996,32
56,743125.2190416666,3755379.165125,299.1584375,0.8040625,-84.37038552633334,33.91079546085417,48
57,743128.6939047618,3755385.8438095236,297.06276190476194,0.740904761904762,-84.37034612747621,33.91085483042857,21
58,743241.2676470588,3755363.6291428576,310.87788235294124,0.7807563025210085,-84.36913582089497,33.91062869234454,238
59,743241.4504,3755363.6414979594,308.9488448979592,0.7843836734693879,-84.36913384273878,33.91062876080816,245
60,743241.6136857143,3755363.6230476187,307.1888380952381,0.7913238095238097,-84.36913208323334,33.91062855719524,210
61,743241.5592820513,3755365.5418388275,310.9345750915751,0.7854505494505495,-84.36913213967031,33.91064585705129,273
62,743241.7527926421,3755365.5560267554,309.0040200668896,0.7927190635451505,-84.36913004465217,33.91064594000669,299
63,743241.9319115385,3755365.5851307693,307.29385,0.8011115384615384,-84.36912810099616,33.910646160688465,260
64,743279.9756483516,3755350.1130549456,303.7124505494506,0.7962857142857144,-84.36872129143957,33.91049797768132,91
65,743310.086734375,3755342.3692968753,304.532765625,0.7772656250000001,-84.36839806120314,33.91042125442188,64
66,743331.6818507463,3755335.960104478,306.0435373134328,0.7360298507462687,-84.36816648464179,33.91035852137314,67
67,743331.9904516126,3755337.1060645166,305.14074193548385,0.7358709677419355,-84.36816283241936,33.910368775225805,31
68,743412.8273225809,3755318.002774194,308.81346774193554,0.7560806451612904,-84.36729461858064,33.91017798351613,62
69,743413.0765714287,3755318.83877551,307.65816326530614,0.755142857142857,-84.36729169375509,33.91018545767348,49
70,743413.2565833334,3755319.531416667,308.967625,0.7569583333333333,-84.36728955620833,33.910191655958336,24
71,743433.8017142856,3755331.828942857,307.09854285714283,0.7692857142857144,-84.36706414005714,33.91029770205714,35
72,743573.3555405407,3755296.4885405404,322.18614864864867,0.7528378378378378,-84.36556595232432,33.90994703740541,74
73,743573.4469130435,3755296.3897681157,320.4352608695652,0.7511594202898552,-84.36556499259417,33.909946126521746,69
74,743573.5558219178,3755296.476082192,318.6911917808219,0.7555342465753424,-84.36556379136988,33.909946878767116,73
75,743573.6447575757,3755298.4974646466,322.16340404040403,0.7584545454545455,-84.36556226961616,33.90996507020202,99
76,743573.7497216493,3755298.378680412,320.22357731958766,0.7615670103092785,-84.36556116875258,33.90996397583505,97
77,743573.8683720931,3755298.4064302333,318.4373720930232,0.7631744186046511,-84.36555987868604,33.909964197872085,86
78,743574.0229904761,3755300.4910095236,322.21243809523804,0.7681523809523809,-84.36555762990476,33.909982943466666,105
79,743574.1221682243,3755300.4112990648,320.4152056074766,0.7737383177570094,-84.36555658047664,33.90998220250468,107
80,743574.2346862745,3755300.408843137,318.70691176470586,0.778294117647059,-84.36555536504902,33.90998215416666,102
81,743574.6209999999,3755302.4992181817,318.3379909090909,0.7881818181818184,-84.36555060995457,33.9100008978909,110
82,743574.3936929824,3755302.5684736846,322.1211491228071,0.7786929824561404,-84.36555304792105,33.910001574289474,114
83,743574.4923423424,3755302.477360361,320.29879279279277,0.7851531531531533,-84.36555200689189,33.910000731153154,111
84,743574.8865478723,3755304.542521277,319.27163829787236,0.8023617021276597,-84.36554717460639,33.91001924555851,188
85,743574.718178344,3755304.655929936,322.14551592356685,0.7907707006369429,-84.36554896261784,33.910020306229306,157
86,743574.7640666667,3755304.4156533335,320.7571333333333,0.7925066666666667,-84.36554853341333,33.910018131079994,75
87,743574.9943333332,3755304.6973478263,317.918463768116,0.7906086956521738,-84.36554596675364,33.91002061566666,69
88,743574.9845490196,3755305.729137255,320.6896274509804,0.7980000000000002,-84.36554578633336,33.91002991372549,51
89,743574.89335,3755305.8039000006,322.42425,0.7924,-84.36554675015,33.91003060775,20
90,743575.1105000001,3755305.7608249993,318.92605000000003,0.8022500000000001,-84.365544417125,33.910030170375,40
91,743762.8311052631,3755287.2578947367,319.87819298245614,0.7498771929824561,-84.36352109008773,33.909820036666666,57
92,743807.7412222222,3755288.347,320.7541481481481,0.7312962962962962,-84.3630355031111,33.90981945385185,27
93,743886.1412636362,3755304.9258272727,329.97781818181824,0.7778818181818183,-84.36218372992727,33.90995066867273,110
94,743886.2677943925,3755304.9631214957,328.115214953271,0.7772429906542057,-84.36218235163551,33.909950975121504,107
95,743886.3732441859,3755304.9084534887,326.5131976744186,0.7767906976744188,-84.36218122739534,33.90995045754651,86
96,743886.0004328358,3755306.9549402986,329.99321641791045,0.7904776119402984,-84.3621846879403,33.909968982007456,134
97,743886.1377573529,3755306.9624044118,328.15404411764706,0.7924411764705883,-84.36218320138235,33.90996901747794,136
98,743886.2585725806,3755306.890008065,326.47205645161296,0.7876129032258066,-84.36218191623387,33.90996833732258,124
