Sign_ID,ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
0,28242649,753619.3,3753377.097,293.194,0.353,0.00645,31.61,62622.04193,-84.25757229,33.89028471
0,28242650,753619.287,3753377.137,292.87,0.141,-0.00384,31.573,62622.04196,-84.25757242,33.89028507
0,28242651,753619.338,3753377.052,292.541,0.118,-0.01413,31.68,62622.04199,-84.2575719,33.89028429
0,28242652,753619.348,3753377.046,292.215,0.071,-0.02442,31.701,62622.04203,-84.25757179,33.89028424
0,28242720,753619.32,3753377.186,296.424,0.11,0.10946,31.37,62622.05491,-84.25757204,33.8902855
0,28242721,753619.375,3753377.092,296.108,0.071,0.09917,31.45,62622.05494,-84.25757148,33.89028465
0,28242722,753619.319,3753377.218,295.774,0.086,0.08888,31.286,62622.05498,-84.25757205,33.8902858
0,28242723,753619.333,3753377.205,295.453,0.098,0.07859,31.283,62622.05501,-84.25757191,33.89028568
0,28242724,753619.356,3753377.174,295.132,0.165,0.0683,31.303,62622.05504,-84.25757167,33.89028539
0,28242725,753619.363,3753377.175,294.81,0.745,0.05801,31.29,62622.05507,-84.25757159,33.89028539
0,28242726,753619.384,3753377.146,294.489,0.827,0.04772,31.313,62622.05511,-84.25757137,33.89028513
0,28242727,753619.38,3753377.169,294.166,0.808,0.03743,31.282,62622.05514,-84.25757141,33.89028534
0,28242728,753619.387,3753377.17,293.845,0.796,0.02714,31.279,62622.05517,-84.25757133,33.89028535
0,28242729,753619.401,3753377.157,293.523,0.839,0.01685,31.295,62622.0552,-84.25757119,33.89028523
0,28242730,753619.402,3753377.17,293.201,0.443,0.00655,31.285,62622.05524,-84.25757117,33.89028534
0,28242731,753619.408,3753377.171,292.879,0.212,-0.00374,31.292,62622.05527,-84.2575711,33.89028535
0,28242732,753619.428,3753377.147,292.556,0.204,-0.01403,31.33,62622.0553,-84.2575709,33.89028513
0,28242733,753619.423,3753377.17,292.234,0.192,-0.02432,31.318,62622.05534,-84.25757094,33.89028534
0,28242734,753619.429,3753377.173,291.911,0.18,-0.03461,31.333,62622.05537,-84.25757087,33.89028536
0,28242801,753619.437,3753377.23,296.394,0.102,0.10936,31.076,62622.06822,-84.25757077,33.89028588
0,28242802,753619.407,3753377.305,296.066,0.094,0.09907,30.967,62622.06825,-84.25757108,33.89028656
0,28242803,753619.412,3753377.309,295.747,0.063,0.08878,30.941,62622.06828,-84.25757102,33.89028659
0,28242804,753619.446,3753377.256,295.432,0.118,0.07849,30.983,62622.06832,-84.25757067,33.8902861
0,28242805,753619.449,3753377.264,295.112,0.153,0.0682,30.959,62622.06835,-84.25757063,33.89028617
0,28242806,753619.472,3753377.234,294.795,0.757,0.05791,30.981,62622.06838,-84.2575704,33.8902859
0,28242807,753619.476,3753377.239,294.476,0.831,0.04762,30.966,62622.06841,-84.25757035,33.89028595
0,28242808,753619.487,3753377.232,294.157,0.776,0.03733,30.969,62622.06845,-84.25757023,33.89028588
0,28242809,753619.494,3753377.233,293.839,0.831,0.02704,30.966,62622.06848,-84.25757016,33.89028588
0,28242810,753619.49,3753377.254,293.52,0.816,0.01674,30.943,62622.06851,-84.25757019,33.89028608
0,28242811,753619.492,3753377.264,293.202,0.737,0.00645,30.937,62622.06854,-84.25757016,33.89028616
0,28242812,753619.515,3753377.234,292.883,0.153,-0.00384,30.978,62622.06858,-84.25756993,33.89028589
0,28242813,753619.532,3753377.214,292.563,0.129,-0.01413,31.011,62622.06861,-84.25756975,33.89028571
0,28242814,753619.493,3753377.305,292.248,0.11,-0.02442,30.924,62622.06864,-84.25757014,33.89028654
